,Date,Contract Strike,Close
9747,2023-10-20 09:30:00-04:00,113.0,112.98999786376953
9748,2023-10-20 09:32:00-04:00,114.0,113.19999694824219
9749,2023-10-20 09:34:00-04:00,113.0,112.66000366210938
9750,2023-10-20 09:36:00-04:00,113.0,112.44010162353516
9751,2023-10-20 09:38:00-04:00,113.0,112.19000244140625
9752,2023-10-20 09:40:00-04:00,113.0,112.07499694824219
9753,2023-10-20 09:42:00-04:00,113.0,112.12999725341797
9754,2023-10-20 09:44:00-04:00,113.0,112.0199966430664
9755,2023-10-20 09:46:00-04:00,113.0,112.13999938964844
9756,2023-10-20 09:48:00-04:00,113.0,112.42769622802734
9757,2023-10-20 09:50:00-04:00,113.0,112.49500274658203
9758,2023-10-20 09:52:00-04:00,113.0,112.19999694824219
9759,2023-10-20 09:54:00-04:00,113.0,112.43939971923828
9760,2023-10-20 09:56:00-04:00,113.0,112.34500122070312
9761,2023-10-20 09:58:00-04:00,113.0,112.18000030517578
9762,2023-10-20 10:00:00-04:00,113.0,112.44000244140625
9763,2023-10-20 10:02:00-04:00,113.0,112.2699966430664
9764,2023-10-20 10:04:00-04:00,113.0,112.13999938964844
9765,2023-10-20 10:06:00-04:00,112.0,111.8499984741211
9766,2023-10-20 10:08:00-04:00,112.0,111.83000183105469
9767,2023-10-20 10:10:00-04:00,112.0,111.69999694824219
9768,2023-10-20 10:12:00-04:00,112.0,111.66999816894531
9769,2023-10-20 10:14:00-04:00,112.0,111.5010986328125
9770,2023-10-20 10:16:00-04:00,112.0,111.4749984741211
9771,2023-10-20 10:18:00-04:00,112.0,111.45999908447266
9772,2023-10-20 10:20:00-04:00,112.0,111.33000183105469
9773,2023-10-20 10:22:00-04:00,112.0,111.55000305175781
9774,2023-10-20 10:24:00-04:00,112.0,111.5999984741211
9775,2023-10-20 10:26:00-04:00,112.0,111.48500061035156
9776,2023-10-20 10:28:00-04:00,112.0,111.52989959716797
9777,2023-10-20 10:30:00-04:00,112.0,111.7750015258789
9778,2023-10-20 10:32:00-04:00,112.0,111.88999938964844
9779,2023-10-20 10:34:00-04:00,112.0,111.89009857177734
9780,2023-10-20 10:36:00-04:00,112.0,111.7300033569336
9781,2023-10-20 10:38:00-04:00,112.0,111.73989868164062
9782,2023-10-20 10:40:00-04:00,112.0,111.58989715576172
9783,2023-10-20 10:42:00-04:00,112.0,111.58000183105469
9784,2023-10-20 10:44:00-04:00,112.0,111.54000091552734
9785,2023-10-20 10:46:00-04:00,112.0,111.70999908447266
9786,2023-10-20 10:48:00-04:00,112.0,111.94999694824219
9787,2023-10-20 10:50:00-04:00,112.0,112.0
9788,2023-10-20 10:52:00-04:00,113.0,112.01000213623047
9789,2023-10-20 10:54:00-04:00,113.0,112.05000305175781
9790,2023-10-20 10:56:00-04:00,112.0,111.97000122070312
9791,2023-10-20 10:58:00-04:00,112.0,111.90499877929688
9792,2023-10-20 11:00:00-04:00,113.0,112.06999969482422
9793,2023-10-20 11:02:00-04:00,112.0,111.97000122070312
9794,2023-10-20 11:04:00-04:00,112.0,111.93000030517578
9795,2023-10-20 11:06:00-04:00,112.0,111.8949966430664
9796,2023-10-20 11:08:00-04:00,113.0,112.00360107421875
9797,2023-10-20 11:10:00-04:00,113.0,112.0199966430664
9798,2023-10-20 11:12:00-04:00,112.0,112.0
9799,2023-10-20 11:14:00-04:00,113.0,112.11000061035156
9800,2023-10-20 11:16:00-04:00,112.0,111.9800033569336
