,Date,Contract Strike,Close,exp,price,vol,runtime
0,2023-10-20 09:30:00-04:00,217.5,217.17999267578125,0.08333333333333333,9.13,0.3538476562500001,2918000
1,2023-10-20 09:30:00-04:00,217.5,217.17999267578125,0.16666666666666666,16.7,0.4530468750000002,1735000
2,2023-10-20 09:30:00-04:00,217.5,217.17999267578125,0.25,20.4,0.44625000000000015,2848000
3,2023-10-20 09:30:00-04:00,217.5,217.17999267578125,0.3333333333333333,24.11,0.4531640625000002,2497000
4,2023-10-20 09:32:00-04:00,215.0,214.7250061035156,0.08333333333333333,9.13,0.3572460937500001,1500000
5,2023-10-20 09:32:00-04:00,215.0,214.7250061035156,0.16666666666666666,16.7,0.45791015625000014,1599000
6,2023-10-20 09:32:00-04:00,215.0,214.7250061035156,0.25,20.4,0.4512304687500002,1562000
7,2023-10-20 09:32:00-04:00,215.0,214.7250061035156,0.3333333333333333,24.11,0.45837890625000016,1540000
8,2023-10-20 09:34:00-04:00,217.5,215.19639587402344,0.08333333333333333,9.13,0.3949218750000001,1810000
9,2023-10-20 09:34:00-04:00,217.5,215.19639587402344,0.16666666666666666,16.7,0.4838085937500002,1603000
10,2023-10-20 09:34:00-04:00,217.5,215.19639587402344,0.25,20.4,0.47208984375000024,1554000
11,2023-10-20 09:34:00-04:00,217.5,215.19639587402344,0.3333333333333333,24.11,0.47619140625000017,1514000
12,2023-10-20 09:36:00-04:00,217.5,215.5800018310547,0.08333333333333333,9.13,0.3871289062500002,1297000
13,2023-10-20 09:36:00-04:00,217.5,215.5800018310547,0.16666666666666666,16.7,0.47789062500000024,1502000
14,2023-10-20 09:36:00-04:00,217.5,215.5800018310547,0.25,20.4,0.46716796875000016,1497000
15,2023-10-20 09:36:00-04:00,217.5,215.5800018310547,0.3333333333333333,24.11,0.4717968750000002,1498000
16,2023-10-20 09:38:00-04:00,217.5,216.6446075439453,0.08333333333333333,9.13,0.3651562500000002,1331000
17,2023-10-20 09:38:00-04:00,217.5,216.6446075439453,0.16666666666666666,16.7,0.46142578125000017,1581000
18,2023-10-20 09:38:00-04:00,217.5,216.6446075439453,0.25,20.4,0.4532812500000002,1502000
19,2023-10-20 09:38:00-04:00,217.5,216.6446075439453,0.3333333333333333,24.11,0.4594335937500002,1522000
20,2023-10-20 09:40:00-04:00,217.5,216.9951019287109,0.08333333333333333,9.13,0.3577734375000001,1210000
21,2023-10-20 09:40:00-04:00,217.5,216.9951019287109,0.16666666666666666,16.7,0.4559179687500002,1509000
22,2023-10-20 09:40:00-04:00,217.5,216.9951019287109,0.25,20.4,0.4486523437500001,1515000
23,2023-10-20 09:40:00-04:00,217.5,216.9951019287109,0.3333333333333333,24.11,0.45533203125000016,1491000
24,2023-10-20 09:42:00-04:00,217.5,216.4499969482422,0.08333333333333333,9.13,0.3691992187500002,1345000
25,2023-10-20 09:42:00-04:00,217.5,216.4499969482422,0.16666666666666666,16.7,0.46441406250000017,1512000
26,2023-10-20 09:42:00-04:00,217.5,216.4499969482422,0.25,20.4,0.4558007812500002,1515000
27,2023-10-20 09:42:00-04:00,217.5,216.4499969482422,0.3333333333333333,24.11,0.4617187500000002,1534000
28,2023-10-20 09:44:00-04:00,217.5,215.3751983642578,0.08333333333333333,9.13,0.3912890625000002,1477000
29,2023-10-20 09:44:00-04:00,217.5,215.3751983642578,0.16666666666666666,16.7,0.48105468750000013,1508000
30,2023-10-20 09:44:00-04:00,217.5,215.3751983642578,0.25,20.4,0.46980468750000015,1507000
